"domain","ip_address"
"w0.movies123.ltd","Addresses:  2606:4700:3030::6815:2001"
"tudohd.pro"," 103.224.182.253"
"sflix.to","Addresses:  2606:4700:3031::ac43:ca6b"
"fmoviesgo.net","Addresses:  172.237.146.25"
"www6.gomovies.ltd"," 199.59.243.228"
"www4.gomovies.ltd"," 199.59.243.228"
"wwv.cpasbien2019.fr","Addresses:  2606:4700:3030::6815:2001"
"wvw.torrent9-super.com"," 10.14.0.70"
"pirate-filmes.com"," 162.210.196.166"
"5moviesfree.net"," 103.224.182.212"
"yomovies.is"," 10.14.0.70"
"www.seriadostv.net"," 37.48.65.154"
"www.boxfilmes.net"," 185.107.56.59"
"www3.ttobogo.net"," 69.16.230.165"
"universo3gp.com.br","Addresses:  3.33.251.168"
"ultraflix.org","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"swatchmovies.com"," 82.192.82.226"
"seuseriado.club","Addresses:  162.255.119.79"
"querofilmehd.org"," 69.16.230.165"
"putlockerr.dev"," 185.107.56.194"
"okpunjab.club"," 69.162.95.5"
"maxseries.top"," 64.190.63.222"
"kr.bt4g.org","Addresses:  2606:4700:3037::ac43:c07c"
"kinofilmecable.de"," 10.14.0.70"
"flixfilmes.net"," 10.14.0.70"
"bkseries.online"," 10.14.0.70"
"limetorrents.uproxy2.info","Addresses:  2606:4700:3031::6815:8fc"
"torrentdownloads.uproxy2.biz","Addresses:  ::ffff:146.112.61.107"
"www.watchseries1.video","Addresses:  172.233.219.78"
"www.comobaixo.com"," 10.14.0.70"
"www.comandotorrents4k.com"," 10.14.0.70"
"soap2day.video","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"real-gomovies.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"movies2watch.tv","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"fmovies.sk","Addresses:  ::ffff:146.112.61.108"
"bkserie.net"," 207.244.65.58"
"azseries.org","Addresses:  2606:4700:3037::6815:5653"
"123movie.app"," 10.14.0.70"
"limetorrents.piracyproxy.biz","Addresses:  2606:4700:3031::6815:4345"
"www.watchseries.wtf"," 10.14.0.70"
"www.123movie.dev"," 103.224.182.251"
"ww2.putlocker.onl"," 10.14.0.70"
"v-torrent.club"," 199.59.243.228"
"solarmovie-free.com","Addresses:  2606:4700:3032::ac43:d736"
"new123movies.site"," 10.14.0.70"
"megafilmeshd.top"," 103.224.182.253"
"moviesm4u.net"," 34.235.250.63"
"fmovie.fm"," 103.224.182.251"
"www.mediabloid.com"," 10.14.0.70"
"www1.solarmovies.movie"," 199.59.243.228"
"w3.streamcomplet3.net"," 74.63.241.27"
"rfilmesonline.com"," 103.224.182.212"
