work_description,infringing_url
"Narcos: Season 3 Episode 3: Follow the Money
",6
"Narcos: Season 3 Episode 4: Checkmate
",6
"Netflix: Extraction
",6
"Big Mouth: Season 4: ""Poop Madness""
",6
"Big Mouth: Season 4: ""Cafeteria Girls""
",6
"Cursed: Season 1 Episode 3: Alone
",6
"Cursed: Season 1 Episode 9: Poisons
",6
"The Crown: Season 4: ""Avalanche""
",6
"Cursed: Season 1 Episode 4: The Red Lake
",6
"Cursed: Season 1 Episode 7: Bring Us In Good Ale
",6
"Narcos: Mexico: Season 2 Episode 3: Ruben Zuno Arce
",6
"Black Mirror: San Junipero
",5
"Narcos: Season 3 Episode 9: Todos Los Hombres del Presidente
",5
"Netflix: A Fall from Grace
",5
"The Order: Season 2 Episode 9: New World Order, Part 1
",5
"The Order: Season 2 Episode 7: Spring Outbreak, Part 1
",5
"The Order: Season 2 Episode 8: Spring Outbreak, Part 2
",5
"One Day at a Time: Season 3 Episode 3: Benefit with Friends
",5
"One Day at a Time: Season 3 Episode 11: A Penny and a Nicole
",5
"Designated Survivor: Season 3 Episode 5: #nothingpersonal
",5
"One Day at a Time: Season 3 Episode 12: Drinking and Driving
",5
"Designated Survivor: Season 3 Episode 4: #makehistory
",5
"Extracurricular, 2020",5
"The Order: Season 2 Episode 6: The Commons, Part 2
",5
"13 Reasons Why: Season 2 Episode 6: The Smile at the End of the Dock
",5
"13 Reasons Why: Season 4 Episode 5: House Party
",5
"13 Reasons Why: Season 2 Episode 9: The Missing Page
",5
"13 Reasons Why: Season 4 Episode 6: Thursday
",5
Thunder Force,5
"Transformers: War For Cybertron Trilogy: Season 1 Episode 6: Episode 6
",5
"Transformers: War For Cybertron Trilogy: Season 1 Episode 5: Episode 5
",5
MOVIE - Selena: La serie,5
"Big Mouth: Season 4: ""Nick Starr""
",5
"Sex Education: Season 2 Episode 2: Episode 2
",5
"The Crown: Season 4: ""The Hereditary Principle""
",5
"Designated Survivor: Season 3 Episode 9: #undecided
",5
"Disenchantment: Season 2 Episode 3: The Very Thing
",5
"The Crown: Season 2 Episode 7: Matrimonium
",5
"Sex Education: Season 2 Episode 6: Episode 6
",5
"The Order: Season 2 Episode 10: New World Order, Part 2
",5
Arthdal Chronicles,5
"Netflix: On My Block
",4
"The Crown: Season 2 Episode 2: A Company of Men
",4
": Season 0 Episode 0: 공간 창출; 한치 앞도 보이지 않아!
",4
": Season 1 Episode 12: Tape 6, Side B
",4
"Transformers: War For Cybertron Trilogy: Season 1 Episode 3: Episode 3
",4
"Netflix: The Lovebirds
",4
"Hollywood: Season 1 Episode 4: (Screen) Tests
",4
FILM - Sin hijos - One Small Problem,4
"One Day at a Time: Season 3 Episode 4: Hermanos
",4
"Money Heist: Season 4 Episode 4: Pasodoble
",4
"13 Reasons Why: Season 2 Episode 4: The Second Polaroid
",4
The Mitchells vs. The Machines,4
"The Order: Season 2 Episode 1: Free Radicals, Part 1
",4
"The Order: Season 2 Episode 2: Free Radicals, Part 2
",4
"Netflix: 13 Reasons Why
",4
"Netflix: Disenchantment
",4
"Netflix: Bird Box
",4
"13 Reasons Why: Season 2 Episode 2: Two Girls Kissing
",4
"The Crown: Season 2 Episode 6: Vergangenheit
",4
"Godzilla Singular Point: Season 1: ""Episode 1""
",4
"Netflix: Altered Carbon
",4
"Narcos: Season 3 Episode 5: MRO
",4
"The Order: Season 2 Episode 3: Fear Itself, Part 1
",4
"The Order: Season 2 Episode 4: Fear Itself, Part 2
",4
"The Order: Season 2 Episode 5: The Commons, Part 1
",4
"13 Reasons Why: Season 4 Episode 4: Senior Camping Trip
",4
"13 Reasons Why: Season 4 Episode 1: Winter Break
",4
"13 Reasons Why: Season 4 Episode 2: College Tour
",4
"13 Reasons Why: Season 4 Episode 8: Acceptance/Rejection
",4
"13 Reasons Why: Season 4 Episode 7: College Interview
",4
"One Day at a Time: Season 3 Episode 5: Nip It in the Bud
",4
Rookie Historian Goo Hae-ryung Season 1,4
"Disenchantment: Season 2 Episode 7: Love's Slimy Embrace
",4
"Netflix: The Old Guard
",4
"13 Reasons Why: Season 2 Episode 7: The Third Polaroid
",4
"13 Reasons Why: Season 4 Episode 9: Prom
",3
": Season 1 Episode 6: Tape 3, Side B
",3
": Season 1 Episode 4: Tape 2, Side B
",3
MOVIE - El baile de los *41 - Dance of the Forty One,3
"Netflix: Hold the Dark
",3
"MOVIE - Odio, de Dani Rovira - Hate by Dani Rovira",3
": Season 1 Episode 7: Tape 4, Side A
",3
"13 Reasons Why: Season 4 Episode 10: Graduation
",3
"Netflix: The Ranch
",3
"Netflix: Someone Great
",3
"Netflix: The Last Summer
",3
"GLOW: Season 2 Episode 2: Candy of the Year
",3
Finding Agnes,3
"House of Cards: Chapter 11
",3
"House of Cards: Chapter 13
",3
"One Day at a Time: Season 3 Episode 13: Ghosts
",3
"Narcos: Season 3 Episode 8: Convivir
",3
"The Crown: Smoke and Mirrors
",3
"Narcos: Season 3 Episode 6: Best Laid Plans
",3
"House of Cards: Chapter 23
",3
"Netflix: Project Power
",3
"The Crown: Season 2 Episode 10: Mystery Man
",3
"Netflix: Coffee & Kareem
",3
"Godzilla Singular Point: Season 1: ""Episode 2""",3
"Netflix: Think Like a Dog
",3
"Netflix: Dark
",2
"House of Cards: Season 5 Episode 8: Chapter 60
",2
"13 Reasons Why
",2
"Netflix: Da 5 Bloods
",2
"Netflix: Dead to Me
",2
"Netflix: Love Wedding Repeat
",2
"The Crown: Season 2 Episode 4: Beryl
",2
"The Crown: Season 2 Episode 3: Lisbon
",2
"The Crown: Season 2 Episode 5: Marionettes
",2
"House of Cards: Chapter 40
",2
"House of Cards: Chapter 38
",2
"House of Cards: Chapter 3
",2
"House of Cards: Chapter 22
",2
"Netflix: Kingdom
",2
"Netflix: Apostle
",2
"Netflix: A Little Help with Carol Burnett
",2
"Netflix: Hollywood
",2
"Netflix: Game Over, Man!
",2
"Netflix: Car Masters: Rust to Riches
",2
"The Crown: Season 3 Episode 10: Cri de Coeur
",2
"GLOW: Season 2 Episode 6: Work the Leg
",2
"GLOW: Season 2 Episode 7: Nothing Shattered
",2
"GLOW: Season 2 Episode 10: Every Potato Has a Receipt
",2
"House of Cards: Chapter 10
",2
"One Day at a Time: Season 3 Episode 10: The Man
",2
"House of Cards: Chapter 46
",2
"One Day at a Time: Season 3 Episode 9: Anxiety
",2
"One Day at a Time: Season 3 Episode 8: She Drives Me Crazy
",2
"One Day at a Time: Season 3 Episode 6: One Valentine's Day at a Time
",2
": Season 1 Episode 11: Tape 6, Side A
",2
": Season 1 Episode 5: Tape 3, Side A
",2
": Season 1 Episode 9: Tape 5, Side A
",2
": Season 1 Episode 13: Tape 7, Side A
",2
"House of Cards: Chapter 12
",2
"GLOW: Season 2 Episode 4: Mother of All Matches
",2
"GLOW: Season 2 Episode 3: Concerned Women of America
",2
"House of Cards: Chapter 5
",2
Pokémon the Movie: Mewtwo Strikes Back: Evolution,2
"Netflix: The Legacy of a Whitetail Deer Hunter
",2
"Netflix: The Land of Steady Habits
",2
"Netflix: Selection Day
",2
"Netflix: The Christmas Chronicles
",2
": Season 1 Episode 8: Tape 4, Side B
",2
"13 Reasons Why: Season 4 Episode 3: Valentine's Day
",2
"50M2: Season 1: ""Episode 6""
",2
"House of Cards: Chapter 4
",2
"House of Cards: Chapter 17
",2
"House of Cards: Chapter 16
",2
"Netflix: Private Life
",2
"House of Cards: Chapter 21
",2
"The Crown: Season 2 Episode 8: Dear Mrs. Kennedy
",2
"House of Cards: Chapter 2
",2
"House of Cards: Chapter 24
",2
"GLOW: Season 2 Episode 8: The Good Twin
",2
"Netflix: Outlaw King
",2
"Netflix: Polar
",2
"Netflix: Love, Guaranteed
",2
"Netflix: Rajma Chawal
",2
"The Crown: Season 2 Episode 9: Paterfamilias
",2
"House of Cards: Chapter 55
",1
"Netflix: The Prom
",1
"House of Cards: Chapter 54
",1
"House of Cards: Chapter 8
",1
"House of Cards: Chapter 9
",1
"House of Cards: Season 5 Episode 12: Chapter 64
",1
"House of Cards: Chapter 47
",1
"Patriot Act with Hasan Minhaj: Season 2 Episode 2: Drug Pricing
",1
"GLOW: Season 2 Episode 5: Perverts Are People, Too
",1
"House of Cards: Chapter 51
",1
"The Two Popes
",1
"The Rational Life: Season 1: ""Episode 22""
",1
"House of Cards: Chapter 15
",1
"The Rational Life: Season 1: ""Episode 23""
",1
"GLOW: Season 2 Episode 1: Viking Funeral
",1
Night in Paradise,1
"6 Underground
",1
A Week Away,1
"Abla Fahita: Drama Queen: Season 1: ""Fangs without a Serpent""
",1
"Abla Fahita: Drama Queen: Season 1: ""Hexadactyly""
",1
"Abla Fahita: Drama Queen: Season 1: ""Gucci Double Semelle""
",1
"Abla Fahita: Drama Queen: Season 1: ""Farewell Bonaparte""
",1
"13 Reasons Why: Season 3 Episode 13: Let the Dead Bury the Dead
",1
Las del hockey,1
"Abla Fahita: Drama Queen: Season 1: ""The Nono Ripens""
",1
"House of Cards: Chapter 45
",1
"GLOW: Season 2 Episode 9: Rosalie
",1
"House of Cards: Chapter 18
",1
"House of Cards: Chapter 19
",1
"House of Cards: Chapter 25
",1
"House of Cards: Chapter 26
",1
"The Crown: Season 2 Episode 1: Misadventure
",1
"House of Cards: Chapter 27
",1
"House of Cards: Chapter 29
",1
"House of Cards: Chapter 30
",1
"House of Cards: Chapter 39
",1
Club de Cuervos,1
"House of Cards: Chapter 43
",1
"House of Cards: Chapter 44
",1
"Netflix: Mute
",1
"Netflix: Murder Mystery
",1
"Netflix: Mercury 13
",1
Serious Men,1
Cabras de Peste,1
"Netflix: Baby
",1
"Netflix: Ibiza
",1
"Netflix: Edha
",1
"Netflix: Lost in Space
",1
"Netflix: Let it Snow
",1
"Kingdom, 2019",1
"House of Cards: Season 5 Episode 13: Chapter 65
",1
"House of Cards: Season 5 Episode 6: Chapter 58
",1
"House of Cards: Season 5 Episode 9: Chapter 61
",1
"House of Cards: Season 6 Episode 3: Chapter 68
",1
I Care A Lot,1
"House of Cards: Season 5 Episode 5: Chapter 57
",1
Kingdom Season 1,1
La Casa De Papel,1
The Land of Steady Habits,1
Arlo the Alligator Boy,1
"The King: Eternal Monarch: Season 1 Episode 16: Episode 16
",1
"The King: Eternal Monarch: Season 1 Episode 5: Episode 5
",1
Why Did You Kill Me?,1
