work_description,infringing_url
"Love, Death & Robots: Volume 2: ""Automated Customer Service""
",67
"Paranormal: Season 1: ""The Myth of the Curse of the Pharaoh""
",67
"Netflix: We Can Be Heroes
",66
FILM - La Casa de Papel,66
"Money Heist: Season 4 Episode 7: Strike the Tent
",65
"Narcos: Mexico: Season 2 Episode 5: AFO
",64
"Dark: Season 3 Episode 1: Deja-vu
",61
"Netflix: Over the Moon
",60
": Chapter Six: The Monster
",60
"Firefly Lane: Season 1: ""Mawaige""
",58
"Firefly Lane: Season 1: ""Oh! Sweet Something""
",58
"Love, Death & Robots: Volume 2: ""Pop Squad""
",58
"Firefly Lane: Season 1: ""Love is a Battlefield""
",57
"Firefly Lane: Season 1: ""Dancing Queens""
",57
"A Week Away
",57
FILM - Bajocero,56
"Stranger Things: Chapter Eight: The Upside Down
",56
"Firefly Lane: Season 1: ""Total Eclipse of the Hart""
",55
"Firefly Lane: Season 1: ""Hello Yellow Brick Road""
",55
"Firefly Lane: Season 1: ""You Say It’s Your Birthday?!""
",55
"Selena: The Series: Part 1: ""Dame un Beso""
",54
"Firefly Lane: Season 1: ""Sweet Child O’ Mine""
",54
"Firefly Lane: Season 1: ""Dirty Laundry""
",54
Tribhanga - Tedhi Medhi Crazy,54
"Money Heist: Season 4 Episode 5: 5 Minutes Earlier
",54
"Money Heist: Season 4 Episode 3: Anatomy Lesson
",53
FILM - Más loco que una cabra - Cabras da Peste,53
"Netflix: Hubie Halloween
",52
"Money Heist: Season 4 Episode 2: Berlin's Wedding
",52
": Chapter Four: The Body
",52
"Love, Death & Robots: Volume 2: ""Ice""
",51
"Teenage Bounty Hunters: Season 1 Episode 5: Death Is Bad
",50
"Teenage Bounty Hunters: Season 1 Episode 1: Daddy's Truck
",49
Kingdom Season 2,49
"Money Heist: Season 4 Episode 6: TKO
",49
"Love, Death & Robots: Volume 2: ""Snow in the Desert""
",49
": Chapter Three: Holly, Jolly
",47
"The Haunting of Bly Manor: ""Episode 8""
",46
"The Haunting of Bly Manor: ""The Two Faces, Part Two""
",45
"Love, Death & Robots: Volume 2: ""The Drowned Giant""
",44
"The Rain: Season 3 Episode 2: Never Let Go
",44
"The Rain: Season 3 Episode 4: Be the Change You Want in the World
",43
"Selena: The Series: Part 1: ""Dulce Amor""
",42
": Chapter Seven: The Bathtub
",41
"The Rain: Season 3 Episode 6: And This Too Shall Pass
",41
"Teenage Bounty Hunters: Season 1 Episode 10: Something Sour Patch
",40
"Narcos: Mexico: Season 2 Episode 9: Growth, Prosperity, and Liberation
",40
"Teenage Bounty Hunters: Season 1 Episode 6: Master Debater
",40
"Godzilla Singular Point: Season 1: ""Episode 2""
",40
"The Haunting of Bly Manor: ""The Way It Came""
",39
"The Rain: Season 3 Episode 5: Love Yourself
",39
FILM - Stranger Things,38
"The Haunting of Bly Manor: ""The Jolly Corner""
",38
"The Rain: Season 3 Episode 3: Stay Strong
",38
FILM - El baile de los *41 - Dance of the Forty One,37
"The Haunting of Bly Manor: ""The Pupil""
",36
"FILM - Odio, de Dani Rovira - Hate by Dani Rovira",36
"Love, Death & Robots: Volume 2: ""The Tall Grass""
",36
"Love, Death & Robots: Volume 2: ""Life Hutch""
",36
"The Rain: Season 3 Episode 1: Don't Give Up
",36
"Money Heist: Season 4 Episode 8: The Paris Plan
",36
"50M2: Season 1: ""Episode 3""
",36
"50M2: Season 1: ""Episode 5""
",35
"50M2: Season 1: ""Episode 8""
",35
"50M2: Season 1: ""Episode 1""
",34
"50M2: Season 1: ""Episode 7""
",34
"Dark: Season 3 Episode 6: Light and Shadow
",34
"Dark: Season 3 Episode 8: The Paradise
",33
"The Witcher: Season 1 Episode 8: Much More
",33
"Teenage Bounty Hunters: Season 1 Episode 4: Basically Pluto
",32
FILM - The Witcher,32
"Dark: Season 3 Episode 7: Between the Time
",32
"Castlevania: Season 3 Episode 10: Abandon All Hope
",32
"The Haunting of Bly Manor: ""The Great Good Place""
",31
"50M2: Season 1: ""Episode 4""
",31
"Disenchantment: Part 3: ""Freak Out!""
",31
"Selena: The Series: Part 1: ""My Love""
",31
"50M2: Season 1: ""Episode 2""
",31
"Uncut Gems
",30
"Stranger Things: Season 2 Episode 3: Chapter Three: The Pollywog
",30
"Stranger Things: Season 2 Episode 5: Chapter Five: Dig Dug
",30
"Selena: The Series: Part 1: ""Daydream""
",30
"Designated Survivor: Season 3 Episode 1: #thesystemisbroken
",30
"The Haunting of Bly Manor: ""The Two Faces, Part One""
",30
"Teenage Bounty Hunters: Season 1 Episode 7: Cleave or Whatever
",29
"The Haunting of Bly Manor: ""The Altar of the Dead""
",29
"Disenchantment: Part 3: ""Subterranean Homesick Blues""
",29
"Narcos: Mexico: Season 2 Episode 1: Salva El Tigre
",29
"Disenchantment: Part 3: ""Steamland Confidential""
",29
"Disenchantment: Part 3: ""Last Splash""
",29
"Ozark: Season 3 Episode 1: Wartime
",29
"Stranger Things: Season 2 Episode 7: Chapter Seven: The Lost Sister
",29
"Lost in Space: Season 1 Episode 4: The Robinsons Were Here
",29
"Selena: The Series: Part 1: ""And the Winner is...""
",29
"Teenage Bounty Hunters: Season 1 Episode 9: Our Ham Is Good
",29
"Disenchantment: Part 3: ""Beanie Get Your Gun""
",28
"Disenchantment: Part 3: ""Bean Falls Down""
",28
"Teenage Bounty Hunters: Season 1 Episode 2: What's a Jennings
",28
"Disenchantment: Part 3: ""You're the Bean""
",28
"Selena: The Series: Part 1: ""Opening Act""
",28
"Stranger Things: Season 2 Episode 6: Chapter Six: The Spy
",28
"A Series of Unfortunate Events: Season 3 Episode 5: Penultimate Peril: Part 1
",28
"Selena: The Series: Part 1: ""Qué Creías""
",28
"Lost in Space: Season 2 Episode 6: Severed
",27
"Selena: The Series: Part 1: ""Fideo""
",27
"The Witcher: Season 1 Episode 5: Bottled Appetites
",27
"The Rational Life / 理智派生活
",27
"A Series of Unfortunate Events: Season 3 Episode 7: The End
",27
"A Series of Unfortunate Events: Season 3 Episode 6: Penultimate Peril: Part 2
",27
"Disenchantment: Part 3: ""The Madness of King Zøg""
",27
"Teenage Bounty Hunters: Season 1 Episode 3: This Must Be How Dumb Kids Feel
",27
"Teenage Bounty Hunters: Season 1 Episode 8: From Basic to Telenovela
",27
"The Haunting of Bly Manor: ""The Beast in the Jungle""
",27
FILM - Black Beach,26
"Stranger Things: Season 2 Episode 1: Chapter One: MADMAX
",26
"Stranger Things: Season 2 Episode 8: Chapter Eight: The Mind Flayer
",26
"Hubie Halloween
",26
"Stranger Things: Season 2 Episode 4: Chapter Four: Will the Wise
",25
"Narcos: Mexico: Season 2 Episode 4: The Big Dig
",25
"Hollywood: Season 1 Episode 3: Outlaws
",25
"Disenchantment: Part 3: ""Bad Moon Rising""
",25
"A Series of Unfortunate Events: Season 3 Episode 2: Slippery Slope: Part 2
",25
"A Series of Unfortunate Events: Season 3 Episode 4: Grim Grotto: Part 2
",25
"Disenchantment: Part 3: ""Hey, Pig Spender""
",25
"Altered Carbon: Season 2 Episode 1: Phantom Lady
",24
Who Killed Sara?,24
"Lost in Space: Season 2 Episode 7: Evolution
",24
"EMILY IN PARIS: Season 1: ""Family Affair""
",23
"A Series of Unfortunate Events: Season 3 Episode 3: Grim Grotto: Part 1
",23
"Dark: Season 3 Episode 3: Adam and Eva
",23
"Lost in Space: Season 2 Episode 4: Scarecrow
",23
"Dark: Season 3 Episode 5: Life and Death
",23
"Stranger Things: Season 2 Episode 9: Chapter Nine: The Gate
",23
FILM - El baile de los 41,22
"Lost in Space: Season 1 Episode 1: Impact
",22
"Lost in Space: Season 2 Episode 2: Precipice
",22
"Godzilla Singular Point: Season 1: ""Episode 7""
",22
"Hollywood: Season 1 Episode 6: Meg
",22
FILM - Um Pai no Meio do Caminho,22
"White Lines: Season 1 Episode 2: Episode 2
",22
"Hollywood: Season 1 Episode 1: Hooray for Hollywood
",22
FILM - Salir del ropero,22
"Ozark: Season 3 Episode 3: Kevin Cronin Was Here
",22
"The Gift: Season 1 Episode 1: Episode 1
",22
"Raising Dion: Season 1 Episode 4: ISSUE #104: Welcome to BIONA. Hope You Survive the Experience
",22
"Ozark: Season 3 Episode 4: Boss Fight
",21
"The Witcher: Season 1 Episode 3: Betrayer Moon
",21
"Abla Fahita: Drama Queen: Season 1: ""Work Kebab""
",21
"Bright
",21
"Raising Dion: Season 1 Episode 8: ISSUE #108: You Won't Like Him When He's Angry
",21
"White Lines: Season 1 Episode 1: Episode 1
",21
A Thousand Goodnights,21
"Ozark: Season 3 Episode 7: In Case of Emergency
",21
"Narcos: Mexico: Season 2 Episode 7: Truth and Reconciliation
",20
"White Lines: Season 1 Episode 4: Episode 4
",20
"Raising Dion: Season 1 Episode 2: ISSUE #102: Fortress of Solitude
",20
"Kingdom: Season 2 Episode 1: Episode 1
",20
"The Gift: Season 1 Episode 8: Episode 8
",20
"EMILY IN PARIS: Season 1: ""Sexy or Sexist""
",20
"Narcos: Mexico: Season 2 Episode 8: Se Cayó El Sistema
",20
"Hollywood: Season 1 Episode 5: Jump
",20
